Item,Quantity,Part Price,Single System,Manufacturer Part \#,Vendor
1000uF Cap,1,3.18,3.18,TVX1J102MCD,Mouser
10u Cap,3,0.3,0.90,C1206C106K9PACTU,Mouser
100n Cap,2,0.03,0.06,C1608Y5V1H104Z,Mouser
47n Cap,1,0.2,0.20,C1608X7S2A473K,Mouser
2.2n Cap,1,0.16,0.16,06035C222K4Z2A,Mouser
1n Cap,1,0.03,0.03,C1608X7R1H102M,Mouser
2A 30V Schottky Diode,1,0.55,0.55,RB060M-30TR,Mouser
4.7u Inductor,1,0.72,0.72,SRR0604-4R7ML,Mouser
56K Resistor,1,1.6,1.60,RG1608N-563-B-T1,Mouser
15K Resistor,1,0.1,0.10,TNPW060315K0DEEA,Mouser
10K Resistor,1,1.1,1.10,PAT0603E1002BST1,Mouser
1.5K Resistor,2,0.79,1.58,TNPW06031K50BEEN,Mouser
10 Resistor,2,0.62,1.24,TNPW060310R0BEEA,Mouser
0.1 Resistor,1,0.3,0.30,CRL1206-FW-R100ELF,Mouser
LM25011,1,4.86,4.86,LM25011MY/NOPB,Digikey
Transformer,1,23.56,23.56,166M18,Mouser
Diode,4,0.23,0.92,1N4004G,Mouser
Total:,25,,41.06,,
