,Year 1,,Year 2,,Year 3,
Sales revenue,,190000000,,238336000,,266936320
Less: Variable Costs:,,,,,,
     Variable Cost of Goods Sold,167245000,,209792128,,234967183,
     Variable Operating Costs,16600000,,20823040,,23321805,
          Total Variable Costs,,183845000,,230615168,,258288988
Contribution Margin,,6155000,,7720832,,8647332
Less: Fixed Costs,,,,,,
     Fixed Cost of Goods Sold,1867500,,2342592,,2623703,
     Fixed Operating Costs,31470,,18621,,13103,
     Depreciation,2858,,4898,,3498,
     Interest Expense,30000,,105000,,204000,
          Total Fixed Costs,,1931828,,2471111,,2844304
Income Before Tax,,4223172,,5249721,,5803028
,,,,,,
,,,,,,
,Year 1,Year 2,Year 3,,,
,,,,,,
Total Fixed Costs,1931828,2471111,2844304,,,
Contribution Margin %,3%,3%,3%,,,
,,,,,,
Break Even Sales Volume,59634008,76281241,87801409,,,
,,,,,,
,,,,,,
,Equipment,Depreciation,,,,
,Purchases,Year 1,Year 2,Year 3,,
,,,,,,
Equipment Purchases Year 1,20000,2858,4898,3498,,
Equipment Purchases Year 2,0,,0,0,,
Equipment Purchases Year 3,0,,,0,,
,,2858,4898,3498,,
,,,,,,
,,,,,,
MACRS Rates (7-year recovery period),0.1429,0.2449,0.1749,,,
,,,,,,
Interest Expense:,,,,,,
Annual interest rate on debt,12%,,,,,
,,,,,,
,Year 1,Year 2,Year 3,,,
Average debt balance,250000,875000,1700000,,,
Interest expense,30000,105000,204000,,,
