,Year 1,Year 2,Year 3
,,,
Sales revenue,190000000,238336000,266936320
Variable Cost of Goods Sold,167245000,209792128,234967183
Fixed Cost of Goods Sold,1867500,2342592,2623703
Depreciation,2858,4898,3498
Gross Margin,20884642,26196382,29341936
Variable Operating Costs,16600000,20823040,23321805
Fixed Operating Costs,31470,18621,13103
Operating Income,4253172,5354721,6007028
Interest Expense,30000,105000,204000
Income Before Tax,4223172,5249721,5803028
Income tax (40%),1689269,2099889,2321211
Net Income After Tax,2533903,3149833,3481817
