,PICA,,,,,,,,,,
,Pro-Forma Statement of Income ,,,,,,,,,,
,,,,,,,,,,,
,Year 1,,Year 2,,Year 3,,,,,,
,,,,,,,,,,,
Sales revenue,190000000,,238336000,,266936320,,,,,,
Variable Cost of Goods Sold,167245000,,209792128,,234967183,,,,,,
Fixed Cost of Goods Sold,1867500,,2342592,,2623703,,,,,,
Depreciation,2858,,4898,,3498,,,,,,
Gross Margin,20884642,,26196382,,29341936,,,,,,
Variable Operating Costs,16600000,,20823040,,23321805,,,,,,
Fixed Operating Costs,31470,,18621,,13103,,,,,,
Operating Income,4253172,,5354721,,6007028,,,,,,
Interest Expense,30000,,105000,,204000,,,,,,
Income Before Tax,4223172,,5249721,,5803028,,,,,,
Income tax (40%),1689269,,2099889,,2321211,,,,,,
Net Income After Tax,2533903,,3149833,,3481817,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,PICA,,,,,,,,,,
,Pro-Forma Statement of Cash Flows ,,,,,,,,,,
,,,,,,,,,,,
,Year 1,,Year 2,,Year 3,,,,,,
,,,,,,,,,,,
Beginning Cash Balance,0,,4016761,,9421492,,,,,,
Net Income After Tax,2533903,,3149833,,3481817,,,,,,
Depreciation expense,2858,,4898,,3498,,,,,,
Invested Capital (Equity),1000000,,1500000,,2000000,,,,,,
Increase (decrease) in borrowed funds,500000,,750000,,900000,,,,,,
Equipment Purchases,-20000,,0,,0,,,,,,
Ending Cash Balance,4016761,,9421492,,15806807,,,,,,
,,,,,,,,,,,
"* Assume no change in Accounts Receivable, Inventory or other current assets other than cash; Accounts Payable or other current ",,,,,,,,,,,
Liabilities other than Notes Payable; Fixed Assets other than equipment; or Equity Accounts other than Retained Earnings,,,,,,,,,,,
,,,,,,,,,,,
,PICA,,,,,,,,,,
,Break - Even Analysis,,,,,,,,,,
,,,,,,,,,,,
,Year 1,,,,Year 2,,,,Year 3,,
,,,,,,,,,,,
Sales revenue,,,190000000,,,,238336000,,,,266936320
Less: Variable Costs:,,,,,,,,,,,
     Variable Cost of Goods Sold,167245000,,,,209792128,,,,234967183,,
     Variable Operating Costs,16600000,,,,20823040,,,,23321805,,
          Total Variable Costs,,,183845000,,,,230615168,,,,258288988
Contribution Margin,,,6155000,,,,7720832,,,,8647332
Less: Fixed Costs,,,,,,,,,,,
     Fixed Cost of Goods Sold,1867500,,,,2342592,,,,2623703,,
     Fixed Operating Costs,31470,,,,18621,,,,13103,,
     Depreciation,2858,,,,4898,,,,3498,,
     Interest Expense,30000,,,,105000,,,,204000,,
          Total Fixed Costs,,,1931828,,,,2471111,,,,2844304
Income Before Tax,,,4223172,,,,5249721,,,,5803028
,,,,,,,,,,,
,,,,,,,,,,,
,Year 1,,Year 2,,Year 3,,,,,,
,,,,,,,,,,,
Total Fixed Costs,1931828,,2471111,,2844304,,,,,,
Contribution Margin %,3%,,3%,,3%,,,,,,
,,,,,,,,,,,
Break Even Sales Volume,59634008,,76281241,,87801409,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Equipment,,Depreciation,,,,,,,,
,Purchases,,Year 1,,Year 2,,Year 3,,,,
,,,,,,,,,,,
Equipment Purchases Year 1,20000,,2858,,4898,,3498,,,,
Equipment Purchases Year 2,0,,,,0,,0,,,,
Equipment Purchases Year 3,0,,,,,,0,,,,
,,,2858,,4898,,3498,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MACRS Rates (7-year recovery period),0.1429,,0.2449,,0.1749,,,,,,
,,,,,,,,,,,
Interest Expense:,,,,,,,,,,,
Annual interest rate on debt,12%,,,,,,,,,,
,,,,,,,,,,,
,Year 1,,Year 2,,Year 3,,,,,,
Average debt balance,250000,,875000,,1700000,,,,,,
Interest expense,30000,,105000,,204000,,,,,,
