,,,,,,,,,,,,,,,,,,,,,,,
,Insert data in boxes only,,,,,,,,,,,,,,,,,,,,,,
,name of organization →,PICA,,,,,,,,,,,,,,,,,,,,,
,,Pro-Forma Statement of Income ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sales revenue,"90,000,000",,"112,896,000",,"126,443,520",,,,,,,Variable Cost of Goods Sold,"Includes Direct material, direct labor and variable manufacturing overhead",,,,,,,,,
,Variable Cost of Goods Sold,"57,600,000",,"72,253,440",,"80,923,853",,,,,,,Fixed Cost of Goods Sold,"Includes rent on manufacturing facilities, manufacturing management salaries & benefits etc.",,,,,,,,,
,Fixed Cost of Goods Sold,"2,400,000",,"3,010,560",,"3,371,827",,,,,,,,,,,,,,,,,
,Depreciation,"2,858",,"4,898",,"3,498",,,,,,,,,,,,,,,,,
,Gross Margin,"29,997,142",,"37,627,102",,"42,144,342",,,,,,,,,,,,,,,,,
,Variable Operating Costs,"25,368,000",,"31,821,619",,"35,640,214",,,,,,,Variable Operating Costs,"Includes sales commissions, shipping costs, etc.",,,,,,,,,
,Fixed Operating Costs,"5,000",,"2,958",,"2,082",,,,,,,Fixed Operating Costs,"Includes selling, general & administrative salaries, facilities, advertising, etc.",,,,,,,,,
,Operating Income,"4,624,142",,"5,802,524",,"6,502,047",,,,,,,,,,,,,,,,,
,Interest Expense,"120,000",,"360,000",,"600,000",,,,,,,In general a variable cost varies proportionately with volume while a fixed cost does not vary with volume.,,,,,,,,,,
,Income Before Tax,"4,504,142",,"5,442,524",,"5,902,047",,,,,,,,,,,,,,,,,
,Income tax (40%),"1,801,657",,"2,177,010",,"2,360,819",,,,,,,,,,,,,,,,,
,Net Income After Tax,"2,702,485",,"3,265,515",,"3,541,228",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,PICA,,,,,,,,,,,,,,,,,,,,,
,,Pro-Forma Statement of Cash Flows ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Beginning Cash Balance,0,,"6,685,343",,"14,455,756",,,,,,,,,,,,,,,,,
,Net Income After Tax,"2,702,485",,"3,265,515",,"3,541,228",,,,,,,,,,,,,,,,,
,Depreciation expense,"2,858",,"4,898",,"3,498",,,,,,,,,,,,,,,,,
,Invested Capital (Equity),"2,000,000",,"2,500,000",,"3,000,000",, ,,,,,,,,,,,,,,,
,Increase (decrease) in borrowed funds,"2,000,000",,"2,000,000",,"2,000,000",,,,,,,,,,,,,,,,,
,Equipment Purchases,"(20,000)",,0,,0,,,,,,,,,,,,,,,,,
