,,,,,,,,,,,,,,,,,,,,,,,
,Insert data in boxes only,,,,,,,,,,,,,,,,,,,,,,
,name of organization →,PICA,,,,,,,,,,,,,,,,,,,,,
,,Pro-Forma Statement of Income ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Sales revenue,"190,000,000",,"238,336,000",,"266,936,320",,,,,,,Variable Cost of Goods Sold,"Includes Direct material, direct labor and variable manufacturing overhead",,,,,,,,,
,Variable Cost of Goods Sold,"167,245,000",,"209,792,128",,"234,967,183",,,,,,,Fixed Cost of Goods Sold,"Includes rent on manufacturing facilities, manufacturing management salaries & benefits etc.",,,,,,,,,
,Fixed Cost of Goods Sold,"1,867,500",,"2,342,592",,"2,623,703",,,,,,,,,,,,,,,,,
,Depreciation,"2,858",,"4,898",,"3,498",,,,,,,,,,,,,,,,,
,Gross Margin,"20,884,642",,"26,196,382",,"29,341,936",,,,,,,,,,,,,,,,,
,Variable Operating Costs,"16,600,000",,"20,823,040",,"23,321,805",,,,,,,Variable Operating Costs,"Includes sales commissions, shipping costs, etc.",,,,,,,,,
,Fixed Operating Costs,"31,470",,"18,621",,"13,103",,,,,,,Fixed Operating Costs,"Includes selling, general & administrative salaries, facilities, advertidsing, etc.",,,,,,,,,
,Operating Income,"4,253,172",,"5,354,721",,"6,007,028",,,,,,,,,,,,,,,,,
,Interest Expense,"30,000",,"105,000",,"204,000",,,,,,,In general a variable cost varies proportionately with volume while a fixed cost does not vary with volume.,,,,,,,,,,
,Income Before Tax,"4,223,172",,"5,249,721",,"5,803,028",,,,,,,,,,,,,,,,,
,Income tax (40%),"1,689,269",,"2,099,889",,"2,321,211",,,,,,,,,,,,,,,,,
,Net Income After Tax,"2,533,903",,"3,149,833",,"3,481,817",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,PICA,,,,,,,,,,,,,,,,,,,,,
,,Pro-Forma Statement of Cash Flows ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Year 1,,Year 2,,Year 3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Beginning Cash Balance,0,,"4,016,761",,"9,421,492",,,,,,,,,,,,,,,,,
,Net Income After Tax,"2,533,903",,"3,149,833",,"3,481,817",,,,,,,,,,,,,,,,,
,Depreciation expense,"2,858",,"4,898",,"3,498",,,,,,,,,,,,,,,,,
,Invested Capital (Equity),"1,000,000",,"1,500,000",,"2,000,000",,,,,,,,,,,,,,,,,
,Increase (decrease) in borrowed funds,"500,000",,"750,000",,"900,000",,,,,,,,,,,,,,,,,
,Equipment Purchases,"(20,000)",,0,,0,,,,,,,,,,,,,,,,,
